지사명,합계,기초연금(지자체),장애인연금(지자체),희망키움통장(지자체),노인일자리사업(지자체),통합사례관리(지자체),긴급복지지원제도(지자체),가사-간병방문지원(지자체),주택연금(한국주택 금융공사),농지연금(한국농어촌공사),서민금융 지원제도(시민금융진흥원),소상공인지원 제도(소상공인 시장진흥공단),법률복지서비스(대한법률구조공단),여성취업지원서비스(여성새로일하기센터),귀농귀촌지원 제도(귀농귀촌종합센터),마이홈 주거상담(LH한국토지주택공사),퇴직연금(근로복지공단),노란우산공제(중소기업중앙회),직접입력
수정중원,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수지,35,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
강릉,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
춘천,152,136,0,1,1,0,1,0,10,0,3,0,0,0,0,0,0,0,0
원주,79,71,0,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,0
삼척,233,231,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
홍천,114,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
동청주,21,4,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0
충주,42,34,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
옥천,108,104,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
서청주,98,93,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
천안,16,1,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0
예산홍성,66,60,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
보령,93,88,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
공주부여,121,116,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
서산태안,65,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아산,216,215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
전주완주,379,370,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
익산군산,263,256,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
정읍,145,144,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
남원순창,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진안,114,102,0,0,1,0,0,0,3,1,3,2,1,0,1,0,0,0,0
목포,69,63,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0
해남,363,358,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
순천,156,148,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
여수,5,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
나주,14,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
경주영천,138,135,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
포항,142,139,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
안동,88,78,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
문경,101,96,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
구미,24,21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
영주봉화,72,59,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
김천성주,101,96,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
경산청도,67,65,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
창원,49,23,0,1,5,1,0,0,11,1,0,0,0,7,0,0,0,0,0
김해밀양,15,11,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
통영,379,376,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
진주,71,66,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
마산,159,156,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
거창,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양산,35,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
사천남해,129,126,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
제주,65,57,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
서귀포,52,48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
